filepath,filename,classe,split
C:\Users\Letic\Downloads\NEU-CLS\Cr_276.bmp,Cr_276.bmp,Crazing,train
C:\Users\Letic\Downloads\NEU-CLS\RS_270.bmp,RS_270.bmp,Rolled-in_Scale,train
C:\Users\Letic\Downloads\NEU-CLS\Cr_212.bmp,Cr_212.bmp,Crazing,train
C:\Users\Letic\Downloads\NEU-CLS\Pa_195.bmp,Pa_195.bmp,Patches,train
C:\Users\Letic\Downloads\NEU-CLS\In_44.bmp,In_44.bmp,Inclusion,train
C:\Users\Letic\Downloads\NEU-CLS\RS_278.bmp,RS_278.bmp,Rolled-in_Scale,train
C:\Users\Letic\Downloads\NEU-CLS\Cr_112.bmp,Cr_112.bmp,Crazing,train
C:\Users\Letic\Downloads\NEU-CLS\Sc_138.bmp,Sc_138.bmp,Scratches,train
C:\Users\Letic\Downloads\NEU-CLS\Pa_68.bmp,Pa_68.bmp,Patches,train
C:\Users\Letic\Downloads\NEU-CLS\RS_98.bmp,RS_98.bmp,Rolled-in_Scale,train
C:\Users\Letic\Downloads\NEU-CLS\Cr_168.bmp,Cr_168.bmp,Crazing,train
C:\Users\Letic\Downloads\NEU-CLS\In_250.bmp,In_250.bmp,Inclusion,train
C:\Users\Letic\Downloads\NEU-CLS\In_46.bmp,In_46.bmp,Inclusion,train
C:\Users\Letic\Downloads\NEU-CLS\Sc_24.bmp,Sc_24.bmp,Scratches,train
C:\Users\Letic\Downloads\NEU-CLS\Pa_194.bmp,Pa_194.bmp,Patches,train
C:\Users\Letic\Downloads\NEU-CLS\PS_262.bmp,PS_262.bmp,Pitted_Surface,train
C:\Users\Letic\Downloads\NEU-CLS\RS_225.bmp,RS_225.bmp,Rolled-in_Scale,train
C:\Users\Letic\Downloads\NEU-CLS\Sc_254.bmp,Sc_254.bmp,Scratches,train
C:\Users\Letic\Downloads\NEU-CLS\Sc_213.bmp,Sc_213.bmp,Scratches,train
C:\Users\Letic\Downloads\NEU-CLS\Cr_105.bmp,Cr_105.bmp,Crazing,train
C:\Users\Letic\Downloads\NEU-CLS\Cr_73.bmp,Cr_73.bmp,Crazing,train
C:\Users\Letic\Downloads\NEU-CLS\Pa_18.bmp,Pa_18.bmp,Patches,train
