image_path,filename,split,label,label_idx
C:\Users\Letic\Downloads\NEU-CLS\Cr_276.bmp,Cr_276.bmp,train,Cr,0
C:\Users\Letic\Downloads\NEU-CLS\RS_270.bmp,RS_270.bmp,train,RS,4
C:\Users\Letic\Downloads\NEU-CLS\Cr_212.bmp,Cr_212.bmp,train,Cr,0
C:\Users\Letic\Downloads\NEU-CLS\Pa_195.bmp,Pa_195.bmp,train,Pa,2
C:\Users\Letic\Downloads\NEU-CLS\In_44.bmp,In_44.bmp,train,In,1
C:\Users\Letic\Downloads\NEU-CLS\RS_278.bmp,RS_278.bmp,train,RS,4
C:\Users\Letic\Downloads\NEU-CLS\Cr_112.bmp,Cr_112.bmp,train,Cr,0
C:\Users\Letic\Downloads\NEU-CLS\Sc_138.bmp,Sc_138.bmp,train,Sc,5
C:\Users\Letic\Downloads\NEU-CLS\Pa_68.bmp,Pa_68.bmp,train,Pa,2
C:\Users\Letic\Downloads\NEU-CLS\RS_98.bmp,RS_98.bmp,train,RS,4
C:\Users\Letic\Downloads\NEU-CLS\Cr_168.bmp,Cr_168.bmp,train,Cr,0
C:\Users\Letic\Downloads\NEU-CLS\In_250.bmp,In_250.bmp,train,In,1
C:\Users\Letic\Downloads\NEU-CLS\In_46.bmp,In_46.bmp,train,In,1
C:\Users\Letic\Downloads\NEU-CLS\Sc_24.bmp,Sc_24.bmp,train,Sc,5
C:\Users\Letic\Downloads\NEU-CLS\Pa_194.bmp,Pa_194.bmp,train,Pa,2
C:\Users\Letic\Downloads\NEU-CLS\PS_262.bmp,PS_262.bmp,train,PS,3
C:\Users\Letic\Downloads\NEU-CLS\RS_225.bmp,RS_225.bmp,train,RS,4
C:\Users\Letic\Downloads\NEU-CLS\Sc_254.bmp,Sc_254.bmp,train,Sc,5
C:\Users\Letic\Downloads\NEU-CLS\Sc_213.bmp,Sc_213.bmp,train,Sc,5
C:\Users\Letic\Downloads\NEU-CLS\Cr_105.bmp,Cr_105.bmp,train,Cr,0
C:\Users\Letic\Downloads\NEU-CLS\Cr_73.bmp,Cr_73.bmp,train,Cr,0
C:\Users\Letic\Downloads\NEU-CLS\Pa_18.bmp,Pa_18.bmp,train,Pa,2
C:\Users\Letic\Downloads\NEU-CLS\Cr_156.bmp,Cr_156.bmp,train,Cr,0
C:\Users\Letic\Downloads\NEU-CLS\Sc_34.bmp,Sc_34.bmp,train,Sc,5
C:\Users\Letic\Downloads\NEU-CLS\In_48.bmp,In_48.bmp,train,In,1
C:\Users\Letic\Downloads\NEU-CLS\Pa_252.bmp,Pa_252.bmp,train,Pa,2
C:\Users\Letic\Downloads\NEU-CLS\RS_11.bmp,RS_11.bmp,train,RS,4
C:\Users\Letic\Downloads\NEU-CLS\Cr_221.bmp,Cr_221.bmp,train,Cr,0
C:\Users\Letic\Downloads\NEU-CLS\RS_97.bmp,RS_97.bmp,train,RS,4
C:\Users\Letic\Downloads\NEU-CLS\Cr_123.bmp,Cr_123.bmp,train,Cr,0
