image_path,split,label,label_idx,filename
C:\Users\Letic\Downloads\NEU-CLS\Cr_276.bmp,train,Cr,0,Cr_276.bmp
C:\Users\Letic\Downloads\NEU-CLS\RS_270.bmp,train,RS,4,RS_270.bmp
C:\Users\Letic\Downloads\NEU-CLS\Cr_212.bmp,train,Cr,0,Cr_212.bmp
C:\Users\Letic\Downloads\NEU-CLS\Pa_195.bmp,train,Pa,2,Pa_195.bmp
C:\Users\Letic\Downloads\NEU-CLS\In_44.bmp,train,In,1,In_44.bmp
C:\Users\Letic\Downloads\NEU-CLS\RS_278.bmp,train,RS,4,RS_278.bmp
C:\Users\Letic\Downloads\NEU-CLS\Cr_112.bmp,train,Cr,0,Cr_112.bmp
C:\Users\Letic\Downloads\NEU-CLS\Sc_138.bmp,train,Sc,5,Sc_138.bmp
C:\Users\Letic\Downloads\NEU-CLS\Pa_68.bmp,train,Pa,2,Pa_68.bmp
C:\Users\Letic\Downloads\NEU-CLS\RS_98.bmp,train,RS,4,RS_98.bmp
C:\Users\Letic\Downloads\NEU-CLS\Cr_168.bmp,train,Cr,0,Cr_168.bmp
C:\Users\Letic\Downloads\NEU-CLS\In_250.bmp,train,In,1,In_250.bmp
C:\Users\Letic\Downloads\NEU-CLS\In_46.bmp,train,In,1,In_46.bmp
C:\Users\Letic\Downloads\NEU-CLS\Sc_24.bmp,train,Sc,5,Sc_24.bmp
C:\Users\Letic\Downloads\NEU-CLS\Pa_194.bmp,train,Pa,2,Pa_194.bmp
C:\Users\Letic\Downloads\NEU-CLS\PS_262.bmp,train,PS,3,PS_262.bmp
C:\Users\Letic\Downloads\NEU-CLS\RS_225.bmp,train,RS,4,RS_225.bmp
C:\Users\Letic\Downloads\NEU-CLS\Sc_254.bmp,train,Sc,5,Sc_254.bmp
C:\Users\Letic\Downloads\NEU-CLS\Sc_213.bmp,train,Sc,5,Sc_213.bmp
C:\Users\Letic\Downloads\NEU-CLS\Cr_105.bmp,train,Cr,0,Cr_105.bmp
C:\Users\Letic\Downloads\NEU-CLS\Cr_73.bmp,train,Cr,0,Cr_73.bmp
C:\Users\Letic\Downloads\NEU-CLS\Pa_18.bmp,train,Pa,2,Pa_18.bmp
C:\Users\Letic\Downloads\NEU-CLS\Cr_156.bmp,train,Cr,0,Cr_156.bmp
C:\Users\Letic\Downloads\NEU-CLS\Sc_34.bmp,train,Sc,5,Sc_34.bmp
C:\Users\Letic\Downloads\NEU-CLS\In_48.bmp,train,In,1,In_48.bmp
C:\Users\Letic\Downloads\NEU-CLS\Pa_252.bmp,train,Pa,2,Pa_252.bmp
C:\Users\Letic\Downloads\NEU-CLS\RS_11.bmp,train,RS,4,RS_11.bmp
C:\Users\Letic\Downloads\NEU-CLS\Cr_221.bmp,train,Cr,0,Cr_221.bmp
C:\Users\Letic\Downloads\NEU-CLS\RS_97.bmp,train,RS,4,RS_97.bmp
C:\Users\Letic\Downloads\NEU-CLS\Cr_123.bmp,train,Cr,0,Cr_123.bmp
C:\Users\Letic\Downloads\NEU-CLS\Sc_211.bmp,train,Sc,5,Sc_211.bmp
C:\Users\Letic\Downloads\NEU-CLS\Cr_272.bmp,train,Cr,0,Cr_272.bmp
C:\Users\Letic\Downloads\NEU-CLS\RS_217.bmp,train,RS,4,RS_217.bmp
C:\Users\Letic\Downloads\NEU-CLS\In_120.bmp,train,In,1,In_120.bmp
C:\Users\Letic\Downloads\NEU-CLS\In_10.bmp,train,In,1,In_10.bmp
C:\Users\Letic\Downloads\NEU-CLS\Pa_112.bmp,train,Pa,2,Pa_112.bmp
C:\Users\Letic\Downloads\NEU-CLS\In_24.bmp,train,In,1,In_24.bmp
C:\Users\Letic\Downloads\NEU-CLS\In_104.bmp,train,In,1,In_104.bmp
C:\Users\Letic\Downloads\NEU-CLS\Cr_245.bmp,train,Cr,0,Cr_245.bmp
C:\Users\Letic\Downloads\NEU-CLS\Sc_175.bmp,train,Sc,5,Sc_175.bmp
C:\Users\Letic\Downloads\NEU-CLS\Cr_266.bmp,train,Cr,0,Cr_266.bmp
C:\Users\Letic\Downloads\NEU-CLS\Cr_229.bmp,train,Cr,0,Cr_229.bmp
C:\Users\Letic\Downloads\NEU-CLS\Sc_145.bmp,train,Sc,5,Sc_145.bmp
C:\Users\Letic\Downloads\NEU-CLS\Sc_287.bmp,train,Sc,5,Sc_287.bmp
C:\Users\Letic\Downloads\NEU-CLS\RS_208.bmp,train,RS,4,RS_208.bmp
C:\Users\Letic\Downloads\NEU-CLS\Sc_189.bmp,train,Sc,5,Sc_189.bmp
C:\Users\Letic\Downloads\NEU-CLS\In_9.bmp,train,In,1,In_9.bmp
C:\Users\Letic\Downloads\NEU-CLS\Cr_76.bmp,train,Cr,0,Cr_76.bmp
C:\Users\Letic\Downloads\NEU-CLS\Cr_68.bmp,train,Cr,0,Cr_68.bmp
C:\Users\Letic\Downloads\NEU-CLS\Pa_237.bmp,train,Pa,2,Pa_237.bmp
C:\Users\Letic\Downloads\NEU-CLS\In_85.bmp,train,In,1,In_85.bmp
C:\Users\Letic\Downloads\NEU-CLS\Cr_246.bmp,train,Cr,0,Cr_246.bmp
C:\Users\Letic\Downloads\NEU-CLS\RS_121.bmp,train,RS,4,RS_121.bmp
C:\Users\Letic\Downloads\NEU-CLS\Sc_281.bmp,train,Sc,5,Sc_281.bmp
C:\Users\Letic\Downloads\NEU-CLS\PS_209.bmp,train,PS,3,PS_209.bmp
C:\Users\Letic\Downloads\NEU-CLS\Sc_144.bmp,train,Sc,5,Sc_144.bmp
C:\Users\Letic\Downloads\NEU-CLS\In_168.bmp,train,In,1,In_168.bmp
C:\Users\Letic\Downloads\NEU-CLS\Pa_98.bmp,train,Pa,2,Pa_98.bmp
C:\Users\Letic\Downloads\NEU-CLS\Pa_165.bmp,train,Pa,2,Pa_165.bmp
C:\Users\Letic\Downloads\NEU-CLS\RS_57.bmp,train,RS,4,RS_57.bmp
C:\Users\Letic\Downloads\NEU-CLS\Pa_60.bmp,train,Pa,2,Pa_60.bmp
C:\Users\Letic\Downloads\NEU-CLS\RS_246.bmp,train,RS,4,RS_246.bmp
C:\Users\Letic\Downloads\NEU-CLS\In_164.bmp,train,In,1,In_164.bmp
C:\Users\Letic\Downloads\NEU-CLS\Pa_5.bmp,train,Pa,2,Pa_5.bmp
C:\Users\Letic\Downloads\NEU-CLS\Pa_101.bmp,train,Pa,2,Pa_101.bmp
C:\Users\Letic\Downloads\NEU-CLS\Cr_205.bmp,train,Cr,0,Cr_205.bmp
C:\Users\Letic\Downloads\NEU-CLS\RS_203.bmp,train,RS,4,RS_203.bmp
C:\Users\Letic\Downloads\NEU-CLS\Sc_168.bmp,train,Sc,5,Sc_168.bmp
C:\Users\Letic\Downloads\NEU-CLS\Pa_49.bmp,train,Pa,2,Pa_49.bmp
C:\Users\Letic\Downloads\NEU-CLS\Cr_17.bmp,train,Cr,0,Cr_17.bmp
C:\Users\Letic\Downloads\NEU-CLS\Pa_169.bmp,train,Pa,2,Pa_169.bmp
C:\Users\Letic\Downloads\NEU-CLS\Pa_76.bmp,train,Pa,2,Pa_76.bmp
